,昨日累積雨量
L1A820(石碇),33.0
C0A530(坪林-碧湖),22.0
C0A930(金山),54.0
C0B010(七堵),48.0
466940(碧砂漁港),26.5
C0A950(瑞濱-鼻頭),6.0
C0A970(貢寮卯澳),9.0
C0A890(龍門橋),41.0
C0AC60(三峽),6.5
C0A570(烏來),44.5
C0A570(烏來02),44.5
C0A570(上龜山橋),44.5
01C570(桃園迴龍-龜山),0.0
01C570(桃園迴龍-嶺頂),0.0
21C070(羅浮-巴陵),2.0
21C080(羅浮-巴陵),0.0
21C070(巴陵-西村),2.0
01A210(新峰),29.0
C0A970(浪襲路段),9.0
C0A930(陽明山-金山),54.0
C0AD10(八里),8.5
C0C590(草漯),12.5
C0C590(觀音),12.5
21C070(大曼),2.0
01C400(溪州),2.0
C0D700(關西),2.0
